Algo,Source,Target
PC,ax_000,aa_000
PC,ax_000,cg_000
PC,ax_000,cs_var
PC,cb_000,ax_000
PC,cb_000,aa_000
PC,cb_000,cs_var
PC,cb_000,bk_000
PC,aa_000,cg_000
PC,ee_mean,aa_000
PC,ee_mean,cg_000
PC,ee_mean,cs_var
PC,ee_mean,cs_mean
PC,cs_var,aa_000
PC,cs_var,cg_000
PC,cs_var,bk_000
PC,cs_var,cs_mean
PC,bk_000,ax_000
PC,bk_000,aa_000
PC,bk_000,cg_000
PC,bk_000,ai_000
PC,cs_mean,ax_000
PC,cs_mean,aa_000
PC,cs_mean,cg_000
PC,cs_mean,ai_000
PC,ai_000,aa_000
PC,class,aa_000
PC,class,cg_000
PC,class,bk_000
PC,class,cs_mean
PC,class,ai_000
LiNGAM,ax_000,aa_000
LiNGAM,ax_000,cg_000
LiNGAM,cb_000,ax_000
LiNGAM,cb_000,aa_000
LiNGAM,aa_000,cg_000
LiNGAM,aa_000,ee_mean
LiNGAM,aa_000,bk_000
LiNGAM,cs_var,cb_000
LiNGAM,cs_var,aa_000
LiNGAM,cs_var,cg_000
LiNGAM,cs_var,ee_mean
LiNGAM,cs_var,bk_000
LiNGAM,cs_mean,aa_000
LiNGAM,cs_mean,cg_000
LiNGAM,cs_mean,ee_mean
LiNGAM,cs_mean,cs_var
LiNGAM,ai_000,cb_000
LiNGAM,ai_000,aa_000
LiNGAM,ai_000,ee_mean
LiNGAM,ai_000,bk_000
LiNGAM,ai_000,class
LiNGAM,class,ax_000
LiNGAM,class,cb_000
LiNGAM,class,aa_000
LiNGAM,class,cg_000
LiNGAM,class,ee_mean
LiNGAM,class,cs_var
LiNGAM,class,bk_000
LiNGAM,class,cs_mean
