Algo,Source,Target
PC,ax_000,cg_000
PC,ax_000,cs_var
PC,cb_000,ax_000
PC,cb_000,cs_var
PC,aa_000,ax_000
PC,aa_000,cb_000
PC,aa_000,cg_000
PC,aa_000,ee_mean
PC,aa_000,cs_var
PC,aa_000,bk_000
PC,aa_000,cs_mean
PC,aa_000,ai_000
PC,cg_000,class
PC,ee_mean,cg_000
PC,ee_mean,cs_var
PC,cs_var,cg_000
PC,bk_000,ax_000
PC,bk_000,cg_000
PC,bk_000,cs_var
PC,bk_000,ai_000
PC,bk_000,class
PC,cs_mean,ax_000
PC,cs_mean,cg_000
PC,cs_mean,cs_var
PC,cs_mean,ai_000
PC,cs_mean,class
PC,ai_000,class
LiNGAM,ax_000,class
LiNGAM,cb_000,class
LiNGAM,aa_000,ax_000
LiNGAM,aa_000,cb_000
LiNGAM,aa_000,cg_000
LiNGAM,aa_000,ee_mean
LiNGAM,aa_000,cs_var
LiNGAM,aa_000,cs_mean
LiNGAM,aa_000,ai_000
LiNGAM,cg_000,class
LiNGAM,ee_mean,class
LiNGAM,cs_var,class
LiNGAM,bk_000,class
LiNGAM,cs_mean,class
LiNGAM,ai_000,class
