Algo,Source,Target,Type
Hybrid,ax_000,aa_000,LiNGAM
Hybrid,ax_000,cg_000,LiNGAM
Hybrid,ax_000,cs_var,PC_Rescue
Hybrid,cb_000,ax_000,LiNGAM
Hybrid,cb_000,aa_000,LiNGAM
Hybrid,cb_000,bk_000,PC_Rescue
Hybrid,aa_000,cg_000,LiNGAM
Hybrid,aa_000,ee_mean,LiNGAM
Hybrid,aa_000,bk_000,LiNGAM
Hybrid,ee_mean,cg_000,PC_Rescue
Hybrid,cs_var,cb_000,LiNGAM
Hybrid,cs_var,aa_000,LiNGAM
Hybrid,cs_var,cg_000,LiNGAM
Hybrid,cs_var,ee_mean,LiNGAM
Hybrid,cs_var,bk_000,LiNGAM
Hybrid,bk_000,ax_000,PC_Rescue
Hybrid,bk_000,cg_000,PC_Rescue
Hybrid,cs_mean,aa_000,LiNGAM
Hybrid,cs_mean,cg_000,LiNGAM
Hybrid,cs_mean,ee_mean,LiNGAM
Hybrid,cs_mean,cs_var,LiNGAM
Hybrid,cs_mean,ax_000,PC_Rescue
Hybrid,cs_mean,ai_000,PC_Rescue
Hybrid,ai_000,cb_000,LiNGAM
Hybrid,ai_000,aa_000,LiNGAM
Hybrid,ai_000,ee_mean,LiNGAM
Hybrid,ai_000,bk_000,LiNGAM
Hybrid,ai_000,class,LiNGAM
Hybrid,class,ax_000,LiNGAM
Hybrid,class,cb_000,LiNGAM
Hybrid,class,aa_000,LiNGAM
Hybrid,class,cg_000,LiNGAM
Hybrid,class,ee_mean,LiNGAM
Hybrid,class,cs_var,LiNGAM
Hybrid,class,bk_000,LiNGAM
Hybrid,class,cs_mean,LiNGAM
