Feature,Role,Algo,Experiment,PyMC_Mean,PyMC_Odds_Ratio
ax_000,Unconnected,PC,EXP_FFT,,
cb_000,Unconnected,PC,EXP_FFT,,
cg_000,Unconnected,PC,EXP_FFT,,
ee_mean,Unconnected,PC,EXP_FFT,,
cs_var,Unconnected,PC,EXP_FFT,,
bk_000,Unconnected,PC,EXP_FFT,,
cs_mean,Unconnected,PC,EXP_FFT,,
ai_000,Unconnected,PC,EXP_FFT,,
ax_000,Unconnected,LiNGAM,EXP_FFT,,
cb_000,Unconnected,LiNGAM,EXP_FFT,,
cg_000,Unconnected,LiNGAM,EXP_FFT,,
ee_mean,Unconnected,LiNGAM,EXP_FFT,,
cs_var,Unconnected,LiNGAM,EXP_FFT,,
bk_000,Unconnected,LiNGAM,EXP_FFT,,
cs_mean,Unconnected,LiNGAM,EXP_FFT,,
ai_000,Unconnected,LiNGAM,EXP_FFT,,
