Feature,Role,Algo,Experiment,PyMC_Mean,PyMC_Odds_Ratio
ax_000,Unconnected,PC,EXP_FTF,,
cb_000,Unconnected,PC,EXP_FTF,,
cg_000,Unconnected,PC,EXP_FTF,,
ee_mean,Unconnected,PC,EXP_FTF,,
cs_var,Unconnected,PC,EXP_FTF,,
bk_000,Unconnected,PC,EXP_FTF,,
cs_mean,Unconnected,PC,EXP_FTF,,
ai_000,Unconnected,PC,EXP_FTF,,
ax_000,Unconnected,LiNGAM,EXP_FTF,,
cb_000,Unconnected,LiNGAM,EXP_FTF,,
cg_000,Unconnected,LiNGAM,EXP_FTF,,
ee_mean,Unconnected,LiNGAM,EXP_FTF,,
cs_var,Unconnected,LiNGAM,EXP_FTF,,
bk_000,Unconnected,LiNGAM,EXP_FTF,,
cs_mean,Unconnected,LiNGAM,EXP_FTF,,
ai_000,Unconnected,LiNGAM,EXP_FTF,,
