Feature,Role,Algo,Experiment,PyMC_Mean,PyMC_Odds_Ratio
ax_000,Unconnected,PC,EXP_FTT,,
cb_000,Unconnected,PC,EXP_FTT,,
cg_000,Unconnected,PC,EXP_FTT,,
ee_mean,Unconnected,PC,EXP_FTT,,
cs_var,Unconnected,PC,EXP_FTT,,
bk_000,Unconnected,PC,EXP_FTT,,
cs_mean,Unconnected,PC,EXP_FTT,,
ai_000,Unconnected,PC,EXP_FTT,,
ax_000,Unconnected,LiNGAM,EXP_FTT,,
cb_000,Unconnected,LiNGAM,EXP_FTT,,
cg_000,Unconnected,LiNGAM,EXP_FTT,,
ee_mean,Unconnected,LiNGAM,EXP_FTT,,
cs_var,Unconnected,LiNGAM,EXP_FTT,,
bk_000,Unconnected,LiNGAM,EXP_FTT,,
cs_mean,Unconnected,LiNGAM,EXP_FTT,,
ai_000,Unconnected,LiNGAM,EXP_FTT,,
