Feature,Role,Algo,Experiment,PyMC_Mean,PyMC_Odds_Ratio
ax_000,Mediator,PC,EXP_TFF,0.064,1.0660923987615052
cb_000,Physical Root,PC,EXP_TFF,0.061,1.0628989141871952
cg_000,Mediator,PC,EXP_TFF,1.02,2.7731947639642978
ee_mean,Physical Root,PC,EXP_TFF,0.79,2.203396426255937
cs_var,Mediator,PC,EXP_TFF,0.43,1.5372575235482815
bk_000,Physical Root,PC,EXP_TFF,0.943,2.567672894029203
cs_mean,Physical Root,PC,EXP_TFF,-0.769,0.4634763129632616
ai_000,Mediator,PC,EXP_TFF,0.698,2.0097292268772886
ax_000,Physical Root,LiNGAM,EXP_TFF,0.064,1.0660923987615052
cb_000,Physical Root,LiNGAM,EXP_TFF,0.061,1.0628989141871952
cg_000,Physical Root,LiNGAM,EXP_TFF,1.02,2.7731947639642978
ee_mean,Physical Root,LiNGAM,EXP_TFF,0.79,2.203396426255937
cs_var,Physical Root,LiNGAM,EXP_TFF,0.43,1.5372575235482815
bk_000,Physical Root,LiNGAM,EXP_TFF,0.943,2.567672894029203
cs_mean,Physical Root,LiNGAM,EXP_TFF,-0.769,0.4634763129632616
ai_000,Physical Root,LiNGAM,EXP_TFF,0.698,2.0097292268772886
