Feature,Role,Algo,Experiment,PyMC_Mean,PyMC_Odds_Ratio
ax_000,Mediator,PC,EXP_TFT,0.064,1.0660923987615052
cb_000,Physical Root,PC,EXP_TFT,0.061,1.0628989141871952
cg_000,Mediator,PC,EXP_TFT,1.02,2.7731947639642978
ee_mean,Physical Root,PC,EXP_TFT,0.79,2.203396426255937
cs_var,Mediator,PC,EXP_TFT,0.432,1.540335115161127
bk_000,Physical Root,PC,EXP_TFT,0.945,2.572813378588326
cs_mean,Physical Root,PC,EXP_TFT,-0.769,0.4634763129632616
ai_000,Mediator,PC,EXP_TFT,0.698,2.0097292268772886
ax_000,Physical Root,LiNGAM,EXP_TFT,0.064,1.0660923987615052
cb_000,Physical Root,LiNGAM,EXP_TFT,0.061,1.0628989141871952
cg_000,Physical Root,LiNGAM,EXP_TFT,1.02,2.7731947639642978
ee_mean,Physical Root,LiNGAM,EXP_TFT,0.79,2.203396426255937
cs_var,Physical Root,LiNGAM,EXP_TFT,0.432,1.540335115161127
bk_000,Physical Root,LiNGAM,EXP_TFT,0.945,2.572813378588326
cs_mean,Physical Root,LiNGAM,EXP_TFT,-0.769,0.4634763129632616
ai_000,Physical Root,LiNGAM,EXP_TFT,0.698,2.0097292268772886
