Algo,Node,Role,PyMC_Mean,PyMC_Odds_Ratio,n_features
LiNGAM,ag_009,Mediator,,,6
LiNGAM,cb_000,Mediator,,,6
LiNGAM,ck_000,Mediator,,,6
LiNGAM,class,Target,,,6
LiNGAM,cn_001,Root,0.962,2.6169250932469144,6
PC,ag_009,Root,-0.281,0.755028335480208,6
PC,cb_000,Unconnected,,,6
PC,ck_000,Root,3.67,39.2519058603045,6
PC,class,Target,,,6
PC,cn_001,Root,0.307,1.3593409680719806,6
LiNGAM,ag_009,Mediator,,,7
LiNGAM,ba_008,Mediator,,,7
LiNGAM,cb_000,Mediator,,,7
LiNGAM,ck_000,Mediator,,,7
LiNGAM,class,Target,,,7
LiNGAM,cn_001,Root,0.962,2.6169250932469144,7
PC,ag_009,Root,-0.29,0.7482635675785653,7
PC,ba_008,Root,0.052,1.0533757425133647,7
PC,cb_000,Unconnected,,,7
PC,ck_000,Root,3.657,38.744933544016426,7
PC,class,Target,,,7
PC,cn_001,Root,0.288,1.3337573041233846,7
LiNGAM,ag_009,Mediator,,,8
LiNGAM,ay_000,Root,0.195,1.215310986489731,8
LiNGAM,ba_008,Mediator,,,8
LiNGAM,cb_000,Mediator,,,8
LiNGAM,ck_000,Mediator,,,8
LiNGAM,class,Target,,,8
LiNGAM,cn_001,Root,0.956,2.6012705532709526,8
PC,ag_009,Root,-0.335,0.7153380863525599,8
PC,ay_000,Root,0.209,1.2324449985302548,8
PC,ba_008,Root,0.159,1.1723379466807176,8
PC,cb_000,Unconnected,,,8
PC,ck_000,Root,3.601,36.634850983340115,8
PC,class,Target,,,8
PC,cn_001,Root,0.264,1.3021281963008942,8
LiNGAM,ag_009,Mediator,,,9
LiNGAM,ay_000,Root,0.238,1.2687091928249108,9
LiNGAM,ba_008,Mediator,,,9
LiNGAM,bk_000,Root,1.381,3.9788785172357057,9
LiNGAM,cb_000,Mediator,,,9
LiNGAM,ck_000,Mediator,,,9
LiNGAM,class,Target,,,9
LiNGAM,cn_001,Mediator,,,9
LiNGAM,dg_000,Root,0.198,1.2189623938216427,9
PC,ag_009,Mediator,,,9
PC,ay_000,Root,0.238,1.2687091928249108,9
PC,ba_008,Mediator,,,9
PC,bk_000,Root,1.383,3.986844237335037,9
PC,cb_000,Unconnected,,,9
PC,ck_000,Mediator,,,9
PC,class,Target,,,9
PC,cn_001,Mediator,,,9
PC,dg_000,Root,0.197,1.2177440407059084,9
LiNGAM,ag_009,Mediator,,,12
LiNGAM,ay_000,Root,0.239,1.2699785365838363,12
LiNGAM,az_006,Mediator,,,12
LiNGAM,ba_008,Mediator,,,12
LiNGAM,bk_000,Root,1.383,3.986844237335037,12
LiNGAM,br_000,Mediator,,,12
LiNGAM,cb_000,Mediator,,,12
LiNGAM,ck_000,Mediator,,,12
LiNGAM,class,Target,,,12
LiNGAM,cn_001,Mediator,,,12
LiNGAM,dg_000,Root,0.198,1.2189623938216427,12
PC,ag_009,Mediator,,,12
PC,ay_000,Root,0.25,1.2840254166877414,12
PC,az_006,Mediator,,,12
PC,ba_008,Mediator,,,12
PC,bk_000,Mediator,,,12
PC,br_000,Root,0.127,1.1354170177814864,12
PC,cb_000,Mediator,,,12
PC,ck_000,Mediator,,,12
PC,class,Target,,,12
PC,cn_001,Mediator,,,12
PC,dg_000,Root,0.222,1.2485713778642835,12
LiNGAM,ac_000,Mediator,,,18
LiNGAM,ag_009,Mediator,,,18
LiNGAM,ai_000,Root,0.972,2.643225627680798,18
LiNGAM,ay_000,Root,0.232,1.2611197288283291,18
LiNGAM,az_006,Mediator,,,18
LiNGAM,ba_008,Mediator,,,18
LiNGAM,bc_000,Mediator,,,18
LiNGAM,bk_000,Mediator,,,18
LiNGAM,bm_000,Mediator,,,18
LiNGAM,bq_000,Mediator,,,18
LiNGAM,cb_000,Mediator,,,18
LiNGAM,ck_000,Mediator,,,18
LiNGAM,class,Target,,,18
LiNGAM,cn_001,Mediator,,,18
LiNGAM,dg_000,Root,0.284,1.328432930752795,18
PC,ac_000,Root,-0.844,0.4299871304192398,18
PC,ag_009,Mediator,,,18
PC,ai_000,Root,0.945,2.572813378588326,18
PC,ay_000,Root,0.228,1.256085325432344,18
PC,az_006,Mediator,,,18
PC,ba_008,Mediator,,,18
PC,bc_000,Mediator,,,18
PC,bk_000,Mediator,,,18
PC,bm_000,Root,0.684,1.9817890552569948,18
PC,bq_000,Mediator,,,18
PC,cb_000,Mediator,,,18
PC,ck_000,Mediator,,,18
PC,class,Target,,,18
PC,cn_001,Mediator,,,18
PC,dg_000,Root,0.273,1.3139002448247392,18
LiNGAM,ac_000,Mediator,,,24
LiNGAM,ag_002,Mediator,,,24
LiNGAM,ag_009,Mediator,,,24
LiNGAM,ai_000,Mediator,,,24
LiNGAM,ay_000,Root,0.249,1.2827420330698114,24
LiNGAM,ay_008,Unconnected,,,24
LiNGAM,az_006,Unconnected,,,24
LiNGAM,ba_008,Mediator,,,24
LiNGAM,bc_000,Mediator,,,24
LiNGAM,bk_000,Mediator,,,24
LiNGAM,bm_000,Mediator,,,24
LiNGAM,bq_000,Mediator,,,24
LiNGAM,br_000_is_missing,Mediator,,,24
LiNGAM,cb_000,Mediator,,,24
LiNGAM,cj_000,Mediator,,,24
LiNGAM,ck_000,Mediator,,,24
LiNGAM,class,Target,,,24
LiNGAM,dg_000,Root,0.222,1.2485713778642835,24
PC,ac_000,Root,-0.833,0.4347430987236084,24
PC,ag_002,Mediator,,,24
PC,ag_009,Mediator,,,24
PC,ai_000,Root,0.888,2.4302642590013805,24
PC,ay_000,Root,0.224,1.2510710194283623,24
PC,ay_008,Mediator,,,24
PC,az_006,Mediator,,,24
PC,ba_008,Mediator,,,24
PC,bc_000,Mediator,,,24
PC,bk_000,Root,1.003,2.726448918454098,24
PC,bm_000,Mediator,,,24
PC,bq_000,Mediator,,,24
PC,br_000_is_missing,Mediator,,,24
PC,cb_000,Mediator,,,24
PC,cj_000,Mediator,,,24
PC,ck_000,Mediator,,,24
PC,class,Target,,,24
PC,dg_000,Root,0.261,1.29822766543369,24
