Algo,Role,Feature,Mean,Odds_Ratio,n_features
PC,Root,ck_000,3.67,39.2519058603045,6
LiNGAM,Root,cn_001,0.962,2.6169250932469144,6
PC,Root,cn_001,0.307,1.3593409680719806,6
PC,Root,ag_009,-0.281,0.755028335480208,6
PC,Root,ck_000,3.657,38.744933544016426,7
LiNGAM,Root,cn_001,0.962,2.6169250932469144,7
PC,Root,cn_001,0.288,1.3337573041233846,7
PC,Root,ba_008,0.052,1.0533757425133647,7
PC,Root,ag_009,-0.29,0.7482635675785653,7
PC,Root,ck_000,3.601,36.634850983340115,8
LiNGAM,Root,cn_001,0.956,2.6012705532709526,8
PC,Root,cn_001,0.264,1.3021281963008942,8
PC,Root,ay_000,0.209,1.2324449985302548,8
LiNGAM,Root,ay_000,0.195,1.215310986489731,8
PC,Root,ba_008,0.159,1.1723379466807176,8
PC,Root,ag_009,-0.335,0.7153380863525599,8
PC,Root,bk_000,1.383,3.986844237335037,9
LiNGAM,Root,bk_000,1.381,3.9788785172357057,9
LiNGAM,Root,ay_000,0.238,1.2687091928249108,9
PC,Root,ay_000,0.238,1.2687091928249108,9
LiNGAM,Root,dg_000,0.198,1.2189623938216427,9
PC,Root,dg_000,0.197,1.2177440407059084,9
LiNGAM,Root,bk_000,1.383,3.986844237335037,12
PC,Root,ay_000,0.25,1.2840254166877414,12
LiNGAM,Root,ay_000,0.239,1.2699785365838363,12
PC,Root,dg_000,0.222,1.2485713778642835,12
LiNGAM,Root,dg_000,0.198,1.2189623938216427,12
PC,Root,br_000,0.127,1.1354170177814864,12
LiNGAM,Root,ai_000,0.972,2.643225627680798,18
PC,Root,ai_000,0.945,2.572813378588326,18
PC,Root,bm_000,0.684,1.9817890552569948,18
LiNGAM,Root,dg_000,0.284,1.328432930752795,18
PC,Root,dg_000,0.273,1.3139002448247392,18
LiNGAM,Root,ay_000,0.232,1.2611197288283291,18
PC,Root,ay_000,0.228,1.256085325432344,18
PC,Root,ac_000,-0.844,0.4299871304192398,18
PC,Root,bk_000,1.003,2.726448918454098,24
PC,Root,ai_000,0.888,2.4302642590013805,24
PC,Root,dg_000,0.261,1.29822766543369,24
LiNGAM,Root,ay_000,0.249,1.2827420330698114,24
PC,Root,ay_000,0.224,1.2510710194283623,24
LiNGAM,Root,dg_000,0.222,1.2485713778642835,24
PC,Root,ac_000,-0.833,0.4347430987236084,24
