Algo,Source,Target
PC,ck_000,class
PC,ag_009,class
PC,ba_008,class
PC,cn_001,class
PC,bk_000,cb_000
PC,bk_000,ck_000
PC,bk_000,ag_009
PC,bk_000,ba_008
PC,bk_000,cn_001
PC,dg_000,cb_000
PC,dg_000,ck_000
PC,dg_000,ag_009
PC,dg_000,ba_008
PC,dg_000,cn_001
PC,dg_000,class
PC,ay_000,cb_000
PC,ay_000,ck_000
PC,ay_000,ag_009
PC,ay_000,ba_008
PC,ay_000,cn_001
PC,ay_000,class
LiNGAM,cb_000,ck_000
LiNGAM,ck_000,class
LiNGAM,ag_009,cb_000
LiNGAM,ag_009,ck_000
LiNGAM,ag_009,ba_008
LiNGAM,ag_009,class
LiNGAM,ba_008,cb_000
LiNGAM,ba_008,ck_000
LiNGAM,ba_008,class
LiNGAM,cn_001,ck_000
LiNGAM,cn_001,ag_009
LiNGAM,cn_001,ba_008
LiNGAM,cn_001,class
LiNGAM,bk_000,class
LiNGAM,dg_000,cb_000
LiNGAM,dg_000,ck_000
LiNGAM,dg_000,ag_009
LiNGAM,dg_000,cn_001
LiNGAM,dg_000,class
LiNGAM,ay_000,cb_000
LiNGAM,ay_000,ba_008
LiNGAM,ay_000,class
