Algo,Node,Role,PyMC_Mean,PyMC_Odds_Ratio
PC,cb_000,Mediator,,
PC,ck_000,Mediator,,
PC,ag_009,Mediator,,
PC,br_000,Root,0.127,1.1354170177814864
PC,bk_000,Mediator,,
PC,cn_001,Mediator,,
PC,ba_008,Mediator,,
PC,az_006,Mediator,,
PC,dg_000,Root,0.222,1.2485713778642835
PC,ay_000,Root,0.25,1.2840254166877414
PC,class,Target,,
LiNGAM,cb_000,Mediator,,
LiNGAM,ck_000,Mediator,,
LiNGAM,ag_009,Mediator,,
LiNGAM,br_000,Mediator,,
LiNGAM,bk_000,Root,1.383,3.9868442373350366
LiNGAM,cn_001,Mediator,,
LiNGAM,ba_008,Mediator,,
LiNGAM,az_006,Mediator,,
LiNGAM,dg_000,Root,0.198,1.2189623938216427
LiNGAM,ay_000,Root,0.239,1.2699785365838365
LiNGAM,class,Target,,
