feature,pi_mean,pi_std
aa_000,16946.0,1061.4442990567145
bc_000,4272.0,269.8073386696515
bi_000,3433.0,480.52159160645425
ai_000,2513.0,175.10282693320517
cc_000,2296.0,206.06794995826013
ci_000,1811.0,338.4213350248474
be_000,1259.0,397.9057677390465
bj_000,832.0,242.43762084297066
ap_000,791.0,326.234578179567
ck_000,601.0,268.4939477902621
ay_kurt,568.0,329.2962192312569
ay_center_mass,550.0,396.5097728934307
ay_high_ratio,545.0,231.18174668429165
do_000,507.0,22.38302928559939
bk_000,495.0,351.1196377305035
ee_entropy,467.0,395.45037615357
bs_000,457.0,27.586228448267445
ay_skew,407.0,235.37417020565363
az_skew,402.0,196.25493624365222
cn_entropy,349.0,254.1043092904959
ao_000,340.0,200.54924582256598
cv_000,327.0,252.1527314942275
aq_000,220.0,24.49489742783178
cs_center_mass,202.0,247.37825288412077
cn_high_ratio,196.0,211.0071088849852
cu_000,170.0,201.544039852336
cz_000,168.0,230.81594399001122
ba_low_ratio,155.0,228.3527972239447
al_000,152.0,153.80507143784303
ag_skew,148.0,271.72780498138206
bm_000,121.0,43.0
az_entropy,115.0,28.0178514522438
ax_000,108.0,16.0
am_0,107.0,156.5279527752152
bh_000,97.0,20.024984394500787
ee_center_mass,91.0,161.52089648091976
bl_000,83.0,26.476404589747453
dy_000,80.0,10.0
cs_high_ratio,79.0,294.83724323768865
de_000,76.0,31.04834939252005
ee_high_ratio,75.0,35.2845575287547
cs_low_ratio,74.0,156.53753543479596
ec_00,65.0,20.12461179749811
bt_000,64.0,15.620499351813308
by_000,62.0,7.483314773547883
cn_kurt,61.0,236.95780215050948
dx_000,59.0,18.138357147217054
co_000,54.0,12.806248474865697
ee_kurt,50.0,21.908902300206645
eb_000,40.0,13.416407864998739
cx_000,38.0,10.770329614269007
ce_000,35.0,6.708203932499369
Module_8_Connectivity,35.0,5.0
cs_skew,34.0,28.0
ac_000,33.0,152.84305676084864
ch_000,30.0,10.954451150103322
ag_high_ratio,30.0,35.21363372331802
an_000,29.0,9.433981132056603
ca_000,29.0,13.0
dp_000,27.0,22.825424421026653
cb_000,24.0,31.368774282716245
cp_000,24.0,147.18695594379278
dc_000,24.0,12.806248474865697
bb_000,23.0,4.58257569495584
da_000,22.0,14.696938456699069
cg_000,22.0,16.0
az_center_mass,21.0,19.72308292331602
dd_000,21.0,3.0
ad_000,18.0,7.483314773547883
ed_000,14.0,6.6332495807108
bu_000,10.0,7.745966692414834
Module_11_Connectivity,9.0,7.0
ds_000,8.0,6.0
bz_000,8.0,17.776388834631177
ah_000,8.0,4.0
Module_10_Connectivity,4.0,16.24807680927192
ct_000,4.0,14.966629547095765
cy_000,4.0,10.198039027185569
ar_000,3.0,7.810249675906654
dh_000,2.0,4.0
az_high_ratio,1.0,3.0
au_000,1.0,3.0
Module_4_Connectivity,1.0,3.0
Module_2_Connectivity,0.0,0.0
as_000,0.0,0.0
bv_000,0.0,0.0
ef_000,0.0,0.0
eg_000,0.0,0.0
Module_3_Connectivity,0.0,0.0
ak_000,0.0,0.0
ag_kurt,0.0,208.51858430365385
dz_000,0.0,0.0
Module_5_Connectivity,0.0,0.0
af_000,0.0,0.0
ae_000,0.0,0.0
Module_9_Connectivity,0.0,0.0
Module_7_Connectivity,0.0,0.0
ea_000,0.0,0.0
Module_6_Connectivity,0.0,0.0
dj_000,0.0,0.0
dk_000,0.0,0.0
Module_13_Connectivity,0.0,0.0
di_000,0.0,0.0
dm_000,0.0,0.0
Module_1_Connectivity,0.0,0.0
dl_000,0.0,0.0
cq_000,0.0,0.0
ba_high_ratio,-2.0,19.8997487421324
ba_center_mass,-2.0,11.661903789690601
bf_000,-3.0,7.810249675906654
dg_000,-4.0,213.12906887611553
dt_000,-5.0,10.246950765959598
ba_kurt,-6.0,16.24807680927192
cn_low_ratio,-7.0,163.58789686281807
Module_12_Connectivity,-8.0,4.0
ba_skew,-9.0,18.681541692269406
du_000,-11.0,5.385164807134504
Total_Operational_Events,-13.0,7.810249675906654
bx_000,-14.0,16.24807680927192
ay_low_ratio,-15.0,10.246950765959598
at_000,-17.0,4.58257569495584
ee_skew,-18.0,18.867962264113206
db_000,-20.0,17.88854381999832
df_000,-29.0,3.0
cs_entropy,-31.0,15.132745950421556
av_000,-37.0,20.024984394500787
cl_000,-42.0,17.776388834631177
cj_000,-43.0,19.519221295943137
cm_000,-44.0,220.41778512633684
az_kurt,-62.0,269.2879499717728
ag_low_ratio,-64.0,148.87578715157142
cn_center_mass,-72.0,153.28405005087777
aj_000,-74.0,14.2828568570857
bg_000,-76.0,241.29649810969076
cf_000,-86.0,228.26300620118013
ee_low_ratio,-91.0,264.4787326043438
az_low_ratio,-99.0,248.25188821034172
ag_center_mass,-116.0,338.2366035780279
dn_000,-147.0,22.38302928559939
cn_skew,-211.0,249.01606373886807
bd_000,-221.0,209.73554777385735
dv_000,-226.0,248.48339984795766
dq_000,-250.0,28.982753492378876
cs_kurt,-265.0,252.67568145747623
dr_000,-286.0,200.85815890822062
ay_entropy,-381.0,289.87756035954214
ba_entropy,-435.0,202.99014754416038
ag_entropy,-457.0,292.7814884858672
