feature,mean_abs_shap
aa_000,0.5714580894976944
bj_000,0.12458590672548799
ci_000,0.10847630998026102
cs_entropy,0.09687797190480395
cc_000,0.07529427745564583
ay_entropy,0.0732640601809168
ck_000,0.05402601771675192
ai_000,0.05164566114165749
bc_000,0.051159126905934764
bi_000,0.04068105027151395
am_0,0.03677748195660216
ee_high_ratio,0.035466594694955875
be_000,0.033348191557729494
cm_000,0.03228090705309162
az_low_ratio,0.031520009006152476
cl_000,0.030713058757430467
aq_000,0.026053649463985386
bk_000,0.025947735985978063
ay_high_ratio,0.024828036523653955
ap_000,0.02471200866080634
ay_center_mass,0.024343070040362545
cs_high_ratio,0.02423839487155236
ag_low_ratio,0.023409008364454864
ee_entropy,0.02227855332637
ag_skew,0.02223401594103921
do_000,0.022067192547989386
ag_entropy,0.021605039505890055
cj_000,0.020376366141738753
al_000,0.019864618977271556
cs_center_mass,0.017625581637997045
de_000,0.01710755766435513
ag_center_mass,0.01626475215628493
ag_high_ratio,0.01622787950297731
bd_000,0.015754388175644753
bs_000,0.015263206793142407
cn_kurt,0.01483174513880293
aj_000,0.014610451895597697
cn_skew,0.014212097395493504
ay_skew,0.01362595168276804
ao_000,0.011990925286930743
cn_entropy,0.011655240465682748
dg_000,0.01101618608005241
bg_000,0.010892176204848546
ce_000,0.01056750113149376
Total_Operational_Events,0.010217237855235997
cs_low_ratio,0.009811805369409796
co_000,0.009747264105754761
dq_000,0.009670539771477915
av_000,0.00951553673140966
ba_entropy,0.009492334154027095
ee_center_mass,0.009443912585095719
cb_000,0.009279078690522134
ag_kurt,0.008910470886219492
cz_000,0.00826534712865394
cn_low_ratio,0.00826303442713749
dn_000,0.00792713063568341
ee_low_ratio,0.007814858519648575
cx_000,0.007622674466836841
cv_000,0.00713873439980362
cs_kurt,0.0071067211076492115
ee_skew,0.006910223860686254
cf_000,0.006749229073104643
cg_000,0.0066370439158794595
cn_high_ratio,0.0064749576406990484
az_entropy,0.006292726829848273
df_000,0.006289649411087467
ax_000,0.006257469676425892
cu_000,0.006195482702096459
az_skew,0.0057234243090802306
cp_000,0.005268512015147107
dp_000,0.005266157568411263
an_000,0.005236544425275384
ay_kurt,0.004797552210408636
ba_low_ratio,0.004745871607983366
dy_000,0.004581391341231801
Module_10_Connectivity,0.004485690743238505
ec_00,0.004229037551488749
eb_000,0.004157675310503498
ee_kurt,0.004138522983510866
dv_000,0.004134668925001532
ac_000,0.004083817155774954
ba_skew,0.004036684648092487
dx_000,0.0040051313927433
cs_skew,0.004004881036252805
bx_000,0.003926165763622896
bh_000,0.003923259842711351
ba_high_ratio,0.0036663949315993405
db_000,0.0034660513300815133
cy_000,0.0034366315139499597
bt_000,0.0033845431363444737
ca_000,0.003337580659396741
ah_000,0.003295360744755088
bl_000,0.0031316568301658007
Module_11_Connectivity,0.0028533044074250955
cn_center_mass,0.0027037980571106147
at_000,0.002699944845027912
da_000,0.0026396923503881394
ct_000,0.002607524942283689
ay_low_ratio,0.002568074043158557
Module_8_Connectivity,0.0024814196814253184
bm_000,0.002447379595329836
dr_000,0.002427675017824145
az_kurt,0.0023463732488626446
dt_000,0.0022651944300631994
bz_000,0.0022506216380593197
by_000,0.0018355737723747627
bf_000,0.0016625719161262869
ad_000,0.0016258794046938537
ba_center_mass,0.0016146508900548569
ch_000,0.0015266775975688247
bb_000,0.001462813961684238
az_center_mass,0.0013614908301377935
bu_000,0.0012914117034477015
ba_kurt,0.0012177338257441388
dc_000,0.0010792436521604011
ds_000,0.0009980408428796456
dd_000,0.0009288333149244939
ar_000,0.0008548135302085769
ed_000,0.0006885421010670763
du_000,0.00043840292675244676
Module_12_Connectivity,0.00028810594176243874
Module_4_Connectivity,0.000266801879067427
ak_000,0.00026664874495881997
au_000,0.00020500765767350354
dh_000,0.00019631705290323003
az_high_ratio,0.00014665141278398966
ea_000,0.0
Module_7_Connectivity,0.0
Module_6_Connectivity,0.0
cq_000,0.0
Module_5_Connectivity,0.0
Module_2_Connectivity,0.0
Module_1_Connectivity,0.0
Module_13_Connectivity,0.0
Module_3_Connectivity,0.0
di_000,0.0
Module_9_Connectivity,0.0
ef_000,0.0
eg_000,0.0
dj_000,0.0
dk_000,0.0
ae_000,0.0
bv_000,0.0
af_000,0.0
dz_000,0.0
as_000,0.0
dm_000,0.0
dl_000,0.0
