feature,mean_abs_shap,shap_rank,pi_mean,pi_rank,avg_rank
aa_000,0.5714580894976944,1.0,16946.0,1.0,1.0
ci_000,0.10847630998026102,3.0,1811.0,6.0,4.5
bj_000,0.12458590672548799,2.0,832.0,8.0,5.0
cc_000,0.07529427745564583,5.0,2296.0,5.0,5.0
bc_000,0.051159126905934764,9.0,4272.0,2.0,5.5
ai_000,0.05164566114165749,8.0,2513.0,4.0,6.0
bi_000,0.04068105027151395,10.0,3433.0,3.0,6.5
ck_000,0.05402601771675192,7.0,601.0,10.0,8.5
be_000,0.033348191557729494,13.0,1259.0,7.0,10.0
ap_000,0.02471200866080634,20.0,791.0,9.0,14.5
ay_high_ratio,0.024828036523653955,19.0,545.0,13.0,16.0
bk_000,0.025947735985978063,18.0,495.0,15.0,16.5
ay_center_mass,0.024343070040362545,21.0,550.0,12.0,16.5
aq_000,0.026053649463985386,17.0,220.0,23.0,20.0
ee_entropy,0.02227855332637,24.0,467.0,16.0,20.0
do_000,0.022067192547989386,26.0,507.0,14.0,20.0
am_0,0.03677748195660216,11.0,107.0,34.0,22.5
bs_000,0.015263206793142407,35.0,457.0,17.0,26.0
ee_high_ratio,0.035466594694955875,12.0,75.0,41.0,26.5
cs_center_mass,0.017625581637997045,30.0,202.0,24.0,27.0
ag_skew,0.02223401594103921,25.0,148.0,30.0,27.5
ay_skew,0.01362595168276804,39.0,407.0,18.0,28.5
al_000,0.019864618977271556,29.0,152.0,29.0,29.0
ao_000,0.011990925286930743,40.0,340.0,21.0,30.5
cn_entropy,0.011655240465682748,41.0,349.0,20.0,30.5
cs_high_ratio,0.02423839487155236,22.0,79.0,39.0,30.5
de_000,0.01710755766435513,31.0,76.0,40.0,35.5
cv_000,0.00713873439980362,59.0,327.0,22.0,40.5
cz_000,0.00826534712865394,54.0,168.0,27.0,40.5
cn_kurt,0.01483174513880293,36.0,61.0,46.0,41.0
ay_kurt,0.004797552210408636,73.0,568.0,11.0,42.0
ee_center_mass,0.009443912585095719,51.0,91.0,36.0,43.5
cs_low_ratio,0.009811805369409796,46.0,74.0,42.0,44.0
az_skew,0.0057234243090802306,69.0,402.0,19.0,44.0
