feature,pi_mean,pi_std
aa_000,11984.0,1619.760476119849
cv_000,2505.0,236.23081932719955
ay_008,2090.0,380.7361290973054
ag_002,1389.0,143.6975991448709
ci_000,1343.0,282.24280327406046
bj_000,1250.0,332.53571236785984
bc_000,1153.0,260.6549443229497
dn_000,1128.0,197.11925324533877
ai_000,1032.0,252.57870060636546
ap_000,1012.0,488.95398556510406
cj_000,964.0,19.078784028338912
aq_000,955.0,343.4020966738555
bi_000,939.0,530.5930644100052
ag_003,933.0,209.2868844433401
an_000,902.0,22.715633383201094
bt_000,863.0,28.653097563788805
ay_006,855.0,337.5870258170477
cn_002,802.0,250.71098898931416
bk_000,769.0,451.6956940241959
az_001,754.0,198.10098434889213
cc_000,753.0,337.8475987779105
bs_000,752.0,385.0402576354841
cn_009,673.0,239.08366736354034
cb_000,656.0,466.54474597834667
ck_000,651.0,314.4344128749269
ag_008,626.0,231.91377708105225
ag_004,623.0,562.4419970094694
cz_000,623.0,327.62936376338433
ah_000,601.0,20.71231517720798
cn_007,557.0,262.64234235933856
dv_000,552.0,158.35403373454054
ds_000,540.0,202.63267258761604
am_0,534.0,329.3994535514593
ba_008,526.0,136.2497706420088
bx_000,520.0,384.91557515902105
az_003,519.0,148.48905683584903
bm_000,504.0,400.15496998038145
ba_007,500.0,14.832396974191326
cx_000,494.0,16.852299546352718
dg_000,493.0,4.58257569495584
ba_000,490.0,0.0
ay_000,489.0,8.306623862918075
bu_000,486.0,148.7413863052244
cn_000,464.0,10.198039027185569
cp_000,447.0,201.49689823915404
cs_006,433.0,225.61249965372042
ay_002,430.0,153.42750731208534
ba_004,428.0,149.45233353815524
ee_001,404.0,148.7413863052244
ba_009,402.0,196.66214684071767
az_004,372.0,224.624130493587
cs_008,370.0,337.7277009663258
cl_000,363.0,225.168825550963
ag_005,361.0,14.45683229480096
dc_000,340.0,196.01020381602586
cs_003,338.0,242.35511135521776
cm_000,324.0,239.21538412067062
ee_005,320.0,147.91889669680478
ag_009,299.0,253.67104683033892
cg_000,287.0,192.1483801649132
dy_000,276.0,14.2828568570857
ay_005,258.0,249.99199987199592
ee_003,255.0,149.34858553063032
ba_001,244.0,245.89428622885893
az_005,240.0,140.07141035914503
cu_000,231.0,203.2953516438583
at_000,229.0,219.15519615103813
cn_003,225.0,148.6102284501306
bd_000,222.0,245.59315951385943
cs_000,222.0,32.49615361854384
cy_000,218.0,314.953964890109
dq_000,204.0,142.56226709757388
cn_008,196.0,381.4760805083328
cs_002,196.0,236.98945124203314
cf_000,194.0,157.49285698088025
ba_006,181.0,28.089143810376278
ao_000,168.0,41.90465367951393
ax_000,166.0,192.77966697761462
cs_001,155.0,155.25785004308156
ay_007,150.0,12.649110640673518
ed_000,142.0,24.0
az_006,128.0,160.67358214715946
ee_009,128.0,23.57965224510319
ag_006,123.0,147.2446943016963
al_000,122.0,234.81056194302676
ba_002,122.0,149.65293181224348
Module_11_Connectivity,121.0,228.58040160958683
ee_002,108.0,14.696938456699069
dx_000,108.0,209.27493877672023
dd_000,106.0,19.595917942265423
ct_000,105.0,140.30324301312496
ad_000,98.0,41.182520563948
dr_000,82.0,8.717797887081348
ee_000,79.0,27.730849247724095
Module_8_Connectivity,77.0,7.810249675906654
bz_000,66.0,46.3033476111609
de_000,66.0,298.2683355638007
cn_006,65.0,23.345235059857504
ee_007,60.0,245.47912334860575
cn_005,49.0,11.357816691600547
be_000,45.0,18.027756377319946
cs_007,42.0,38.41874542459709
bh_000,41.0,13.74772708486752
db_000,30.0,10.954451150103322
cn_004,30.0,0.0
bf_000,20.0,18.439088914585774
by_000,19.0,10.44030650891055
ee_004,19.0,13.0
ca_000,19.0,14.45683229480096
dt_000,16.0,16.852299546352718
av_000,14.0,21.540659228538015
az_007,12.0,11.661903789690601
ak_000,10.0,0.0
ag_007,8.0,21.817424229271428
ar_000,7.0,4.58257569495584
du_000,6.0,20.591260281974
az_009,3.0,6.4031242374328485
Module_10_Connectivity,3.0,7.810249675906654
di_000,2.0,4.0
Module_12_Connectivity,0.0,0.0
Module_9_Connectivity,0.0,0.0
dz_000,0.0,0.0
ea_000,0.0,0.0
Module_7_Connectivity,0.0,0.0
Module_6_Connectivity,0.0,0.0
Module_5_Connectivity,0.0,0.0
Module_3_Connectivity,0.0,0.0
Module_2_Connectivity,0.0,0.0
eg_000,0.0,0.0
dl_000,0.0,0.0
ef_000,0.0,0.0
dm_000,0.0,0.0
Module_13_Connectivity,0.0,0.0
dk_000,0.0,0.0
cq_000,0.0,0.0
af_000,0.0,0.0
as_000,0.0,0.0
au_000,0.0,0.0
ay_001,0.0,0.0
ae_000,0.0,0.0
dj_000,0.0,0.0
bv_000,0.0,0.0
bg_000,0.0,0.0
dh_000,0.0,4.47213595499958
df_000,0.0,0.0
cs_009,0.0,0.0
ag_000,-1.0,3.0
ec_00,-1.0,3.0
ac_000,-2.0,14.696938456699069
ce_000,-2.0,6.0
cs_005,-2.0,4.0
az_008,-4.0,4.898979485566356
ag_001,-5.0,13.601470508735444
cn_001,-9.0,7.0
Module_4_Connectivity,-11.0,3.0
