feature,mean_abs_shap,shap_rank,pi_mean,pi_rank,avg_rank
aa_000,0.852987127517151,1.0,11984.0,1.0,1.0
bj_000,0.11428932319617113,6.0,1250.0,6.0,6.0
bi_000,0.31062383403049465,2.0,939.0,13.0,7.5
ci_000,0.08488363330125726,10.0,1343.0,5.0,7.5
ay_008,0.07595717065016383,12.0,2090.0,3.0,7.5
ai_000,0.10791644340566518,8.0,1032.0,9.0,8.5
ap_000,0.08424840442060988,11.0,1012.0,10.0,10.5
bc_000,0.07142934455169996,14.0,1153.0,7.0,10.5
ay_006,0.15097461856653294,5.0,855.0,17.0,11.0
bk_000,0.168751521419435,4.0,769.0,19.0,11.5
cb_000,0.19955909134381988,3.0,656.0,24.0,13.5
ck_000,0.08956256354679845,9.0,651.0,25.0,17.0
bs_000,0.06806276498959837,15.0,752.0,22.0,18.5
bt_000,0.04647574028808863,24.0,863.0,16.0,20.0
az_001,0.05219691688459631,20.0,754.0,20.0,20.0
ag_002,0.0331014323647538,43.0,1389.0,4.0,23.5
aq_000,0.03674255120921355,37.0,955.0,12.0,24.5
dn_000,0.033668700599983586,42.0,1128.0,8.0,25.0
cn_002,0.03763896838035585,33.0,802.0,18.0,25.5
cc_000,0.03955377220224139,32.0,753.0,21.0,26.5
ag_004,0.04515754510224759,26.0,623.0,27.0,26.5
am_0,0.04817284758912686,22.0,534.0,32.0,27.0
cz_000,0.03679320303810983,35.0,623.0,27.0,31.0
cj_000,0.027991305042599827,57.0,964.0,11.0,34.0
cl_000,0.053939325468261724,19.0,363.0,52.0,35.5
az_003,0.036530800036666235,38.0,519.0,35.0,36.5
cm_000,0.05587766364358149,18.0,324.0,56.0,37.0
bm_000,0.03518244660979659,39.0,504.0,36.0,37.5
dv_000,0.03207378065511201,47.0,552.0,30.0,38.5
ba_008,0.032507818799600706,45.0,526.0,33.0,39.0
bx_000,0.033045064493449745,44.0,520.0,34.0,39.0
cx_000,0.033968824945550175,41.0,494.0,38.0,39.5
cs_008,0.043823490459023944,29.0,370.0,51.0,40.0
cs_000,0.06625168111355083,16.0,222.0,68.0,42.0
an_000,0.021844134569547598,70.0,902.0,15.0,42.5
ag_003,0.020365306537495877,73.0,933.0,14.0,43.5
ag_008,0.024848315298890124,61.0,626.0,26.0,43.5
ao_000,0.0721029527713627,13.0,168.0,74.0,43.5
cg_000,0.04391288812508099,28.0,287.0,59.0,43.5
ag_009,0.04135149133649584,31.0,299.0,58.0,44.5
cv_000,0.014554608366527793,87.0,2505.0,2.0,44.5
cu_000,0.04592829391688537,25.0,231.0,65.0,45.0
cs_002,0.04857774033498597,21.0,196.0,71.0,46.0
ee_009,0.06272746562345036,17.0,128.0,79.0,48.0
cn_009,0.0184159734807928,77.0,673.0,23.0,50.0
bd_000,0.036775236929354894,36.0,222.0,68.0,52.0
cs_006,0.026326501316789826,60.0,433.0,45.0,52.5
ee_005,0.030943458954568535,49.0,320.0,57.0,53.0
cn_007,0.017611471333495082,79.0,557.0,29.0,54.0
ag_007,0.11425481013928752,7.0,8.0,104.0,55.5
de_000,0.0472934750996804,23.0,66.0,90.0,56.5
ay_005,0.02940188117282902,53.0,258.0,61.0,57.0
ee_003,0.026982226915186418,59.0,255.0,62.0,60.5
cs_007,0.044535593402577824,27.0,42.0,95.0,61.0
dy_000,0.024149163138418427,65.0,276.0,60.0,62.5
ag_005,0.01875853194290756,76.0,361.0,53.0,64.5
cs_003,0.020140971274992536,74.0,338.0,55.0,64.5
cp_000,0.014860077600683827,85.0,447.0,44.0,64.5
az_006,0.03046158224674631,50.0,128.0,79.0,64.5
bz_000,0.03436110162531321,40.0,66.0,90.0,65.0
ax_000,0.02858044987973269,56.0,166.0,75.0,65.5
ds_000,0.009277884910526307,103.0,540.0,31.0,67.0
cf_000,0.024689089855698496,62.0,194.0,72.0,67.0
ag_006,0.028669351132220265,54.0,123.0,80.0,67.0
ba_007,0.010312867993545078,98.0,500.0,37.0,67.5
ba_006,0.02343948027178802,66.0,181.0,73.0,69.5
ay_002,0.010394898879430733,97.0,430.0,46.0,71.5
cn_000,0.010146129534184156,100.0,464.0,43.0,71.5
ah_000,0.007236287837171119,116.0,601.0,28.0,72.0
az_005,0.014767551298361976,86.0,240.0,64.0,75.0
cy_000,0.01595172226569338,82.0,218.0,69.0,75.5
cn_003,0.015134822628002496,84.0,225.0,67.0,75.5
cn_008,0.016273784799927218,80.0,196.0,71.0,75.5
ay_007,0.019882248591520723,75.0,150.0,77.0,76.0
ad_000,0.022698973079521755,68.0,98.0,86.0,77.0
ct_000,0.0222800006690363,69.0,105.0,85.0,77.0
ee_007,0.024367261459038864,63.0,60.0,92.0,77.5
