feature,pi_mean,pi_std
aa_000,11294.0,1137.9912126198515
bi_000,1256.0,58.172158288995945
ee_high_ratio,1157.0,224.8577328000974
ag_skew,938.0,280.13568141170447
cs_low_ratio,831.0,354.80839899867084
dx_000,779.0,319.57628197349067
ay_center_mass,767.0,324.77838598034816
cs_center_mass,752.0,357.65346356494297
ao_000,659.0,30.805843601498726
cu_000,634.0,226.98898651696737
cb_000,629.0,301.11293562382866
cn_skew,545.0,232.43278598338918
bk_000,533.0,247.7518920210298
cs_skew,516.0,255.78115645997067
bb_000,499.0,219.06391761310215
cn_kurt,498.0,223.23978140107556
ag_low_ratio,498.0,22.271057451320086
ay_skew,498.0,27.85677655436824
ec_00,496.0,215.4158768521949
ax_000,482.0,295.79722784367
ag_entropy,461.0,198.869303815345
Total_Operational_Events,441.0,320.6384256448375
dv_000,418.0,234.72537144501445
an_000,393.0,254.7174905655283
cj_000,353.0,19.0
cm_000,349.0,233.55727348982305
az_skew,342.0,478.9112652673771
ah_000,334.0,242.24780700761772
cl_000,318.0,220.1272359341297
dy_000,314.0,149.54597955144098
az_low_ratio,310.0,441.90496715922984
cs_entropy,299.0,237.63206854294728
aq_000,289.0,37.0
ee_entropy,285.0,249.28898892650673
Module_8_Connectivity,276.0,155.70484899321536
bl_000,267.0,256.94551951727044
ag_high_ratio,261.0,243.45225404583954
dq_000,257.0,151.52887513606112
ct_000,253.0,156.20819440733575
ee_center_mass,210.0,204.05881505095536
ay_kurt,199.0,224.7865654348587
dn_000,196.0,152.3285921946369
db_000,190.0,210.71307505705477
ac_000,186.0,230.61656488639318
ba_high_ratio,179.0,191.38704240360684
ba_kurt,175.0,161.94134740701648
cn_high_ratio,173.0,48.590122453025366
ay_entropy,170.0,368.37480912787726
ee_skew,152.0,239.32404810214956
bt_000,152.0,18.867962264113206
ed_000,152.0,19.8997487421324
bs_000,146.0,349.51967040497163
ck_000,142.0,346.8947967323811
cp_000,138.0,160.1749044014074
de_000,126.0,229.87822863420539
da_000,119.0,195.88006534611938
cf_000,111.0,144.46106741956464
bg_000,104.0,152.13152204589292
ag_kurt,103.0,39.0
ag_center_mass,98.0,146.54692081377897
cg_000,89.0,141.73566946961517
dc_000,86.0,13.564659966250536
cz_000,85.0,205.9732992404598
ba_skew,82.0,148.44527611210805
cs_high_ratio,81.0,239.5600133578223
cy_000,80.0,16.73320053068151
bf_000,73.0,7.810249675906654
dg_000,68.0,16.61324772583615
ar_000,63.0,149.06709898565813
ap_000,53.0,12.68857754044952
bh_000,52.0,15.362291495737216
eb_000,52.0,17.204650534085253
ba_low_ratio,52.0,150.18655066283398
bz_000,49.0,27.367864366808018
ca_000,48.0,18.33030277982336
dp_000,46.0,15.620499351813308
cn_center_mass,45.0,31.064449134018133
dr_000,39.0,3.0
dh_000,27.0,23.68543856465402
ds_000,25.0,10.246950765959598
cs_kurt,25.0,18.57417562100671
ch_000,22.0,26.758176320519304
ba_center_mass,22.0,9.797958971132712
cn_low_ratio,22.0,30.265491900843113
ee_kurt,15.0,30.740852297878796
df_000,14.0,10.198039027185569
cn_entropy,14.0,235.2530552405218
ce_000,14.0,12.0
ba_entropy,5.0,20.615528128088304
Module_5_Connectivity,4.0,9.16515138991168
Module_4_Connectivity,3.0,4.58257569495584
Module_11_Connectivity,2.0,4.0
by_000,2.0,8.717797887081348
ad_000,1.0,19.209372712298546
as_000,0.0,0.0
au_000,0.0,0.0
Module_7_Connectivity,0.0,0.0
Module_6_Connectivity,0.0,0.0
bv_000,0.0,0.0
ef_000,0.0,0.0
Module_9_Connectivity,0.0,0.0
eg_000,0.0,0.0
cc_000,0.0,207.07486568871656
Module_1_Connectivity,0.0,0.0
dj_000,0.0,0.0
dk_000,0.0,0.0
dl_000,0.0,0.0
dm_000,0.0,0.0
Module_12_Connectivity,0.0,0.0
Module_13_Connectivity,0.0,0.0
ea_000,0.0,0.0
ae_000,0.0,0.0
cq_000,0.0,0.0
Module_2_Connectivity,0.0,0.0
Module_3_Connectivity,0.0,0.0
dz_000,0.0,0.0
az_high_ratio,-5.0,11.180339887498949
az_center_mass,-6.0,18.547236990991408
di_000,-6.0,8.0
av_000,-7.0,39.761790704142086
dd_000,-7.0,6.4031242374328485
bm_000,-10.0,30.0
af_000,-10.0,0.0
co_000,-12.0,24.0
dt_000,-13.0,11.0
ak_000,-20.0,0.0
be_000,-27.0,15.524174696260024
Module_10_Connectivity,-32.0,13.2664991614216
bu_000,-33.0,13.45362404707371
aj_000,-39.0,19.72308292331602
ay_high_ratio,-45.0,210.20228352708256
bc_000,-49.0,157.19096666157378
bd_000,-66.0,16.852299546352718
al_000,-72.0,143.23407415835104
do_000,-77.0,7.810249675906654
ee_low_ratio,-77.0,233.62576912660984
ay_low_ratio,-79.0,157.31814898478814
az_kurt,-131.0,253.78928267363852
ai_000,-157.0,43.60045871318328
az_entropy,-176.0,324.5982131805411
cx_000,-184.0,20.591260281974
ci_000,-189.0,151.75308893067054
cv_000,-240.0,240.20824298928628
bx_000,-243.0,262.79459659589656
am_0,-257.0,229.87170334775874
bj_000,-280.0,231.68944732119328
at_000,-467.0,12.68857754044952
du_000,-474.0,8.0
