feature,mean_abs_shap,shap_rank,pi_mean,pi_rank,avg_rank
aa_000,0.8792710659997327,1.0,11294.0,1.0,1.0
cs_low_ratio,0.09597012385965636,6.0,831.0,5.0,5.5
bi_000,0.07640523559725866,11.0,1256.0,2.0,6.5
cb_000,0.11476470874626635,3.0,629.0,11.0,7.0
ag_skew,0.07426114538733014,13.0,938.0,4.0,8.5
bk_000,0.09709370292140306,5.0,533.0,13.0,9.0
bb_000,0.07913401276680519,9.0,499.0,15.0,12.0
cu_000,0.06204550476812527,17.0,634.0,10.0,13.5
cn_skew,0.06430150866340073,15.0,545.0,12.0,13.5
ay_center_mass,0.050259667827030785,24.0,767.0,7.0,15.5
az_low_ratio,0.08971863818100002,8.0,310.0,29.0,18.5
az_skew,0.07566037410962545,12.0,342.0,25.0,18.5
ay_skew,0.0461513304094346,28.0,498.0,16.0,22.0
cs_entropy,0.07232890012234237,14.0,299.0,30.0,22.0
ee_high_ratio,0.03456810428334618,42.0,1157.0,3.0,22.5
ag_low_ratio,0.0419889220713628,31.0,498.0,16.0,23.5
cs_skew,0.03802861886675728,36.0,516.0,14.0,25.0
an_000,0.04565813596928216,29.0,393.0,22.0,25.5
cs_center_mass,0.03299072330202751,45.0,752.0,8.0,26.5
ck_000,0.11079744202157905,4.0,142.0,49.0,26.5
ao_000,0.03282734057553825,46.0,659.0,9.0,27.5
bs_000,0.09120831547669127,7.0,146.0,48.0,27.5
ay_entropy,0.07680188336778072,10.0,170.0,46.0,28.0
cm_000,0.04186633782357074,32.0,349.0,24.0,28.0
ct_000,0.05669864847978984,21.0,253.0,37.0,29.0
cj_000,0.03690057913283726,37.0,353.0,23.0,30.0
ee_entropy,0.03870420765483417,35.0,285.0,32.0,33.5
cn_kurt,0.03032388615530455,52.0,498.0,16.0,34.0
dx_000,0.022482301686262057,63.0,779.0,6.0,34.5
ba_high_ratio,0.04735851347500878,27.0,179.0,43.0,35.0
ay_kurt,0.03909939794203486,34.0,199.0,39.0,36.5
bl_000,0.03536249946592655,39.0,267.0,34.0,36.5
ee_skew,0.048755657617543496,26.0,152.0,47.0,36.5
cl_000,0.030365765245936767,51.0,318.0,27.0,39.0
cs_high_ratio,0.060064249126274276,19.0,81.0,61.0,40.0
ag_entropy,0.022298142307033014,64.0,461.0,19.0,41.5
cn_high_ratio,0.0356327089133088,38.0,173.0,45.0,41.5
dv_000,0.022845062558506164,62.0,418.0,21.0,41.5
ac_000,0.034424768190663424,43.0,186.0,42.0,42.5
ec_00,0.01966272916118641,69.0,496.0,17.0,43.0
ba_kurt,0.033926646231098805,44.0,175.0,44.0,44.0
ag_center_mass,0.03532317389999406,40.0,98.0,56.0,48.0
ee_kurt,0.05937534959125099,20.0,15.0,76.0,48.0
aq_000,0.021085239134984307,66.0,289.0,31.0,48.5
de_000,0.03159191109041157,48.0,126.0,51.0,49.5
cz_000,0.03507251191938212,41.0,85.0,59.0,50.0
ee_center_mass,0.01993044833665802,67.0,210.0,38.0,52.5
ag_high_ratio,0.0187691901092059,71.0,261.0,35.0,53.0
cf_000,0.029817632397959846,54.0,111.0,53.0,53.5
cc_000,0.049761461301098556,25.0,0.0,83.0,54.0
db_000,0.01968676321527602,68.0,190.0,41.0,54.5
Total_Operational_Events,0.011906906513099317,89.0,441.0,20.0,54.5
dy_000,0.014962718981358085,82.0,314.0,28.0,55.0
bj_000,0.12024281562482704,2.0,-280.0,109.0,55.5
ba_low_ratio,0.03145018044007146,49.0,52.0,67.0,58.0
cg_000,0.024388277692491918,59.0,89.0,57.0,58.0
bc_000,0.0532774096230114,22.0,-49.0,96.0,59.0
cy_000,0.025315581017422276,57.0,80.0,62.0,59.5
bt_000,0.01734170624480544,73.0,152.0,47.0,60.0
ai_000,0.06150097779755259,18.0,-157.0,102.0,60.0
ed_000,0.017035060070253353,75.0,152.0,47.0,61.0
ax_000,0.00723255153528728,105.0,482.0,18.0,61.5
cn_entropy,0.032435824363710404,47.0,14.0,77.0,62.0
am_0,0.06410915793213262,16.0,-257.0,108.0,62.0
cs_kurt,0.030211852415806362,53.0,25.0,74.0,63.5
dn_000,0.012678482179380075,87.0,196.0,40.0,63.5
ci_000,0.053019164809884105,23.0,-189.0,105.0,64.0
